Site: BK7A
Displacement time seires in m
Origin Time: 2002-04-18 1414 52.4
Instrument: CMG-5T #T5301, DD2 #357
Sample Rate: 100 Hz

Time	East	North	Up
------------------------------------------------
 -5.400	 3.87078E-8	 6.59335E-8	-2.41369E-8
 -5.390	 3.98734E-8	 6.44162E-8	-2.53968E-8
 -5.380	 4.07945E-8	 6.28554E-8	-2.65353E-8
 -5.370	 4.18011E-8	 6.11679E-8	-2.76939E-8
 -5.360	 4.27974E-8	 5.93453E-8	-2.86378E-8
 -5.350	 4.38397E-8	 5.71419E-8	-2.93149E-8
 -5.340	 4.48320E-8	 5.46302E-8	-2.98737E-8
 -5.330	 4.55102E-8	 5.14594E-8	-3.04665E-8
 -5.320	 4.62785E-8	 4.80858E-8	-3.09689E-8
 -5.310	 4.69939E-8	 4.46664E-8	-3.14516E-8
 -5.300	 4.76144E-8	 4.10682E-8	-3.19087E-8
 -5.290	 4.81291E-8	 3.75752E-8	-3.22865E-8
 -5.280	 4.87367E-8	 3.39571E-8	-3.26732E-8
 -5.270	 4.92242E-8	 3.00741E-8	-3.29190E-8
 -5.260	 4.94287E-8	 2.62052E-8	-3.32500E-8
 -5.250	 4.92532E-8	 2.24099E-8	-3.34046E-8
 -5.240	 4.90466E-8	 1.86909E-8	-3.35221E-8
 -5.230	 4.86608E-8	 1.48476E-8	-3.37671E-8
 -5.220	 4.86700E-8	 1.09232E-8	-3.41734E-8
 -5.210	 4.85730E-8	 7.03565E-9	-3.45878E-8
 -5.200	 4.86834E-8	 3.02767E-9	-3.49658E-8
 -5.190	 4.90076E-8	-7.38577E-10	-3.52496E-8
 -5.180	 4.92809E-8	-4.37211E-9	-3.55418E-8
 -5.170	 5.00109E-8	-7.84729E-9	-3.56469E-8
 -5.160	 5.06763E-8	-1.11986E-8	-3.56938E-8
 -5.150	 5.16354E-8	-1.47399E-8	-3.56608E-8
 -5.140	 5.26977E-8	-1.79118E-8	-3.55896E-8
 -5.130	 5.38295E-8	-2.09525E-8	-3.54376E-8
 -5.120	 5.49773E-8	-2.40371E-8	-3.52356E-8
 -5.110	 5.61586E-8	-2.72118E-8	-3.48460E-8
 -5.100	 5.72171E-8	-3.05375E-8	-3.43030E-8
 -5.090	 5.85812E-8	-3.37895E-8	-3.37164E-8
 -5.080	 5.97845E-8	-3.70316E-8	-3.37623E-8
