Site: BK7A
Uncorrected Displacement time seires
Origin Time: 2002-04-25 1736 16.25
Instrument: , 
Sample Rate: 100 Hz

Time	East	North	Up
------------------------------------------------
 -5.250	 7.13124E-2	 2.76158E-1	 1.49623E-1
 -5.240	 7.72892E-2	 2.87907E-1	 1.55955E-1
 -5.230	 8.45275E-2	 2.99852E-1	 1.60733E-1
 -5.220	 9.03493E-2	 3.12740E-1	 1.64991E-1
 -5.210	 9.77893E-2	 3.26176E-1	 1.69705E-1
 -5.200	 1.04906E-1	 3.39091E-1	 1.74098E-1
 -5.190	 1.10694E-1	 3.53964E-1	 1.78987E-1
 -5.180	 1.16186E-1	 3.67184E-1	 1.83094E-1
 -5.170	 1.19655E-1	 3.77932E-1	 1.86973E-1
 -5.160	 1.21531E-1	 3.86651E-1	 1.91605E-1
 -5.150	 1.23759E-1	 3.93942E-1	 1.97509E-1
 -5.140	 1.26823E-1	 4.00571E-1	 2.05718E-1
 -5.130	 1.31709E-1	 4.07911E-1	 2.12736E-1
 -5.120	 1.39688E-1	 4.15663E-1	 2.16680E-1
 -5.110	 1.48643E-1	 4.23471E-1	 2.20124E-1
 -5.100	 1.57107E-1	 4.31008E-1	 2.25779E-1
 -5.090	 1.65271E-1	 4.37111E-1	 2.33897E-1
 -5.080	 1.73524E-1	 4.42344E-1	 2.44892E-1
 -5.070	 1.80470E-1	 4.44249E-1	 2.56633E-1
 -5.060	 1.87602E-1	 4.43962E-1	 2.68813E-1
 -5.050	 1.96764E-1	 4.43484E-1	 2.78736E-1
 -5.040	 2.04670E-1	 4.43203E-1	 2.87120E-1
 -5.030	 2.11371E-1	 4.41512E-1	 2.95321E-1
 -5.020	 2.18680E-1	 4.40637E-1	 3.03437E-1
 -5.010	 2.27250E-1	 4.41426E-1	 3.10242E-1
 -5.000	 2.35809E-1	 4.43307E-1	 3.17184E-1
 -4.990	 2.44923E-1	 4.44402E-1	 3.24768E-1
 -4.980	 2.54396E-1	 4.43227E-1	 3.33244E-1
 -4.970	 2.63374E-1	 4.44177E-1	 3.45922E-1
 -4.960	 2.71228E-1	 4.45418E-1	 3.62645E-1
 -4.950	 2.76403E-1	 4.46597E-1	 3.82556E-1
 -4.940	 2.80873E-1	 4.49957E-1	 4.04510E-1
 -4.930	 2.84101E-1	 4.54971E-1	 4.25454E-1
 -4.920	 2.88811E-1	 4.60785E-1	 4.43681E-1
 -4.910	 2.94601E-1	 4.66189E-1	 4.59019E-1
 -4.900	 3.03426E-1	 4.71115E-1	 4.72269E-1
 -4.890	 3.10844E-1	 4.77278E-1	 4.86216E-1
 -4.880	 3.16842E-1	 4.85327E-1	 5.00555E-1
 -4.870	 3.22539E-1	 4.94385E-1	 5.13485E-1
 -4.860	 3.27123E-1	 5.02688E-1	 5.24765E-1
