Magnitude,UTC Date,UTC Time,Sydney Date,Sydney Time,Latitude,Longitude,Significant,Depth (km),Solution finalised,Source,EVENT ID,ORIGIN ID
2.1,21/07/12,5:25:58,21/07/12,15:25:58,-30.406,117.629,-,7,FINL,AUST,529993,627521
2.3,19/07/12,16:21:28,20/07/12,2:21:28,-30.435,117.754,-,5,FINL,AUST,528490,627557
3.2,18/07/12,16:35:18,19/07/12,2:35:18,-30.405,117.88,TRUE,3,FINL,AUST,528140,625486
2.2,18/07/12,12:37:48,18/07/12,22:37:48,-30.426,117.759,-,1,FINL,AUST,528299,625673
2.1,18/07/12,11:39:49,18/07/12,21:39:49,-30.637,117.448,-,3,FINL,AUST,528298,625665
3.5,18/07/12,9:20:55,18/07/12,19:20:55,-30.429,117.794,TRUE,2,FINL,AUST,528071,625661
2,18/07/12,2:44:15,18/07/12,12:44:15,-30.575,117.487,-,0,FINL,AUST,528284,625605
2.4,17/07/12,22:51:24,18/07/12,8:51:24,-30.629,117.469,-,0,FINL,AUST,527820,625153
2.3,17/07/12,22:13:34,18/07/12,8:13:34,-30.63,117.437,-,1,FINL,AUST,527826,625152
2.3,17/07/12,21:54:49,18/07/12,7:54:49,-30.648,117.429,-,9,FINL,AUST,527811,625151
2.4,17/07/12,21:22:10,18/07/12,7:22:10,-30.621,117.429,-,0,FINL,AUST,527801,625149
2.5,8/07/12,9:33:51,8/07/12,19:33:51,-29.131,116.603,-,10,FINL,AUST,524486,621629
2.3,28/06/12,11:22:50,28/06/12,21:22:50,-30.457,117.684,-,10,FINL,AUST,521188,618151
2.3,28/06/12,4:58:59,28/06/12,14:58:59,-31.686,117.067,-,5,FINL,AUST,521123,618076
2.2,23/06/12,21:33:16,24/06/12,7:33:16,-30.491,117.719,-,17,FINL,AUST,519780,616671
2,18/06/12,1:52:35,18/06/12,11:52:35,-31.211,116.57,-,3,FINL,AUST,517230,613849
2.2,17/06/12,17:01:20,18/06/12,3:01:20,-31.573,117.033,-,10,FINL,AUST,517196,613801
2.2,14/06/12,23:06:17,15/06/12,9:06:17,-30.798,117.761,-,0,FINL,AUST,515980,612526
2.1,10/06/12,16:28:38,11/06/12,2:28:38,-31.615,116.994,-,0,FINL,AUST,515150,611596
2.2,27/05/12,16:59:34,28/05/12,2:59:34,-31.274,117.668,-,10,FINL,AUST,510641,606779
2,25/05/12,17:12:03,26/05/12,3:12:03,-30.477,117.694,-,17,FINL,AUST,510381,606448
2,25/05/12,14:54:19,26/05/12,0:54:19,-30.609,117.613,-,13,FINL,AUST,510629,606731
2.2,24/05/12,2:01:37,24/05/12,12:01:37,-30.59,117.678,-,6,FINL,AUST,509355,605373
2,16/05/12,6:50:53,16/05/12,16:50:53,-30.686,117.432,-,9,FINL,AUST,506222,602135
2.5,8/05/12,15:18:50,9/05/12,1:18:50,-30.217,117.841,-,16,FINL,AUST,503941,599765
2.2,8/05/12,10:42:00,8/05/12,20:42:00,-30.272,117.729,-,10,FINL,AUST,503939,599759
2.2,26/04/12,9:50:18,26/04/12,19:50:18,-29.142,116.875,-,1,FINL,AUST,498731,594271
2.3,23/04/12,2:13:36,23/04/12,12:13:36,-31.184,118.344,-,7,FINL,AUST,497491,592943
2,22/04/12,19:39:33,23/04/12,5:39:33,-31.244,118.171,-,11,FINL,AUST,497441,592868
3,21/04/12,1:33:15,21/04/12,11:33:15,-31.222,118.203,-,11,FINL,AUST,496921,592275
2.1,20/04/12,21:21:34,21/04/12,7:21:34,-31.191,118.134,-,5,FINL,AUST,496957,592347
2.1,20/04/12,21:19:50,21/04/12,7:19:50,-31.224,118.143,-,8,FINL,AUST,496956,592346
2.1,20/04/12,21:14:50,21/04/12,7:14:50,-31.218,118.127,-,8,FINL,AUST,496955,592345
2.1,20/04/12,21:13:52,21/04/12,7:13:52,-31.202,118.152,-,7,FINL,AUST,496953,592344
2.4,20/04/12,19:01:46,21/04/12,5:01:46,-31.702,117.07,-,10,FINL,AUST,496951,592338
2.1,20/04/12,16:47:08,21/04/12,2:47:08,-31.238,118.18,-,11,FINL,AUST,496949,592328
2.1,20/04/12,14:51:58,21/04/12,0:51:58,-31.236,118.285,-,16,FINL,AUST,496927,592289
2,11/04/12,6:53:10,11/04/12,16:53:10,-31.227,118.217,-,13,FINL,AUST,491146,586145
2.1,8/04/12,13:35:26,8/04/12,23:35:26,-30.389,117.756,-,0,FINL,AUST,488947,584266
2.1,7/04/12,21:30:54,8/04/12,7:30:54,-30.373,117.806,-,5,FINL,AUST,489300,584190
2.4,6/04/12,18:18:53,7/04/12,4:18:53,-29.464,118.485,-,10,FINL,AUST,489291,584161
2.2,27/03/12,3:41:44,27/03/12,14:41:44,-32.146,118.845,-,10,FINL,AUST,485582,580220
